epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6503,1.96287,2.14269,1.89239,0.06631,0.26876,0.0361,0.01035,2.83856,14.4651,6.30807,0.000662768,0.000662768,0.000662768
2,92.2043,2.00588,2.06547,1.95218,0.31953,0.31588,0.25241,0.09078,2.31429,4.34166,2.33336,0.0013075,0.0013075,0.0013075
3,139.631,1.99392,2.05174,1.90424,0.46928,0.27574,0.26165,0.09582,2.40674,2.74391,2.42963,0.00193023,0.00193023,0.00193023
4,190.138,1.92534,1.95447,1.85476,0.42424,0.36475,0.32724,0.12841,2.35507,2.49427,2.3676,0.001901,0.001901,0.001901
5,243.41,1.88049,1.87469,1.82085,0.50164,0.48342,0.46844,0.19624,2.11043,2.00045,2.10866,0.001868,0.001868,0.001868
6,296.136,1.84227,1.74222,1.78322,0.62481,0.48866,0.52751,0.22199,2.06773,1.89729,2.0423,0.001835,0.001835,0.001835
7,350.874,1.82904,1.69908,1.7618,0.63968,0.52182,0.56055,0.23539,1.96299,1.88693,1.90637,0.001802,0.001802,0.001802
8,405.593,1.80173,1.64154,1.74084,0.65388,0.5288,0.58184,0.25322,2.02625,1.82159,1.96537,0.001769,0.001769,0.001769
9,463.155,1.76222,1.60439,1.71035,0.63787,0.5564,0.6066,0.27481,2.00349,1.89788,1.95152,0.001736,0.001736,0.001736
10,530.105,1.76693,1.56175,1.7221,0.65997,0.5445,0.61758,0.27012,1.92885,1.96331,1.83589,0.001703,0.001703,0.001703
11,596.841,1.74142,1.52569,1.68588,0.63427,0.58716,0.6265,0.27193,1.91443,1.8115,1.86221,0.00167,0.00167,0.00167
12,662.833,1.72281,1.48069,1.67506,0.68575,0.52555,0.57705,0.25825,1.99828,2.1423,1.90998,0.001637,0.001637,0.001637
13,730.603,1.69566,1.43659,1.64211,0.66863,0.60217,0.66594,0.29739,1.93136,1.68294,1.89579,0.001604,0.001604,0.001604
14,797.727,1.68493,1.39791,1.63506,0.72066,0.62478,0.68449,0.30915,1.89935,1.61159,1.84745,0.001571,0.001571,0.001571
15,863.387,1.68575,1.38812,1.64152,0.69159,0.62617,0.67136,0.29975,1.93093,1.60431,1.86177,0.001538,0.001538,0.001538
16,927.535,1.66833,1.38843,1.63868,0.69393,0.61955,0.66577,0.29425,1.95286,1.68783,1.87607,0.001505,0.001505,0.001505
17,991.881,1.64801,1.32822,1.62941,0.57523,0.48691,0.51751,0.21958,2.15776,1.86569,2.09296,0.001472,0.001472,0.001472
18,1054.51,1.63119,1.28961,1.59547,0.65416,0.64041,0.67593,0.29667,1.99427,1.5702,1.90256,0.001439,0.001439,0.001439
