epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1852,1.3202,6.73907,0.93759,0.24081,0.47412,0.20757,0.14423,1.03179,56.0686,0.83313,0.0003875,0.0003875,0.0003875
2,20.5525,1.07326,1.17053,0.8429,0.87218,0.57078,0.64481,0.39717,1.20394,1.30483,0.86236,0.000774506,0.000774506,0.000774506
3,30.0232,1.08066,0.87869,0.84038,0.83372,0.72676,0.78861,0.49358,1.18648,0.80547,0.8538,0.00114831,0.00114831,0.00114831
4,39.3051,1.13458,0.81332,0.85337,0.83919,0.73948,0.81116,0.49506,1.02196,1.07376,0.82777,0.00118812,0.00118812,0.00118812
5,48.5473,1.04184,0.71046,0.84108,0.79774,0.7392,0.78166,0.53438,0.97213,0.98554,0.82235,0.0011675,0.0011675,0.0011675
6,57.652,0.9814,0.7054,0.83008,0.91209,0.77686,0.86809,0.59488,1.00559,0.66316,0.83205,0.00114688,0.00114688,0.00114688
7,66.8169,1.07467,0.70345,0.8447,0.90761,0.77131,0.88012,0.59766,0.98195,0.7399,0.81951,0.00112625,0.00112625,0.00112625
8,76.0253,0.92563,0.65603,0.82977,0.88034,0.74366,0.84376,0.61443,0.89113,0.73732,0.80932,0.00110563,0.00110563,0.00110563
9,85.4954,0.92241,0.6086,0.83037,0.85958,0.78023,0.8583,0.61311,0.92475,0.64732,0.80946,0.001085,0.001085,0.001085
10,95.0661,0.94119,0.61077,0.8178,0.87496,0.78769,0.86825,0.5948,0.94491,0.59723,0.81698,0.00106437,0.00106437,0.00106437
11,104.781,0.8933,0.58082,0.82789,0.83413,0.85837,0.89988,0.64652,0.87267,0.56914,0.81363,0.00104375,0.00104375,0.00104375
12,114.686,0.91636,0.59409,0.82145,0.95935,0.82188,0.90257,0.68401,0.7753,0.50516,0.79974,0.00102312,0.00102312,0.00102312
13,124.777,0.85594,0.54566,0.8147,0.90122,0.82205,0.89382,0.64145,0.82354,0.52338,0.80635,0.0010025,0.0010025,0.0010025
